Orden;Sitios;codigo;Fecha;Año;Campaña;Tem_agua;Tem_aire;pH;Olores;Color;Espumas;Mat_susp;colif_totales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;Nitrato_mg_l;NH4_mg_l;P_de_ortof_mg_l;P_total_l_mg_l;DQO_mg_l;DBO_mg_l;Turbiedad_NTU;Hidr_Deriv_del_Petroleo_ug_l;Cr_total_mg_l;Cd_total_mg_l;Microcistina_ug_l;Clorofila_a_ug_l;ICA;Calidad_de_agua
4;Río Carapachay y Arroyo Gallo Fiambre;TI003; 29/10/2019;2019;primavera;21.4;3.69;7.46;Ausencia;Ausencia;Ausencia;Ausencia;6400;3000;1050;2.9;1.35;0.31;0.48;47;18;49;49;<0.006;<0.002;<0.5;<10;43;Extremadamente deteriorada
5;Río Reconquista y Río Lujan;TI004; 29/10/2019;2019;primavera;21.3;3.57;7.43;Ausencia;Ausencia;Ausencia;Ausencia;16500;2000;800;3.6;1.51;0.62;0.62;42;20;58;49;<0.006;<0.002;0.7;<10;34;Extremadamente deteriorada
6;Rio Tigre 100m antes del Rio Luján;TI005; 29/10/2019;2019;primavera;21.7;1.67;7.5;Ausencia;Ausencia;Ausencia;Ausencia;5500;5000;2200;3.3;2;0.56;0.6;46;24;56;49;<0.006;<0.002;<0.5;<10;41;Extremadamente deteriorada
7;Río Lujan y Canal San Fernando;TI007; 29/10/2019;2019;primavera;21.4;4.25;7.47;Ausencia;Ausencia;Ausencia;Ausencia;12200;5300;3300;2.8;2.93;0.38;0.8;47;24;35;93;<0.006;<0.002;<0.5;<10;37;Extremadamente deteriorada
8;Río Capitán y Río San Antonio;TI008; 29/10/2019;2019;primavera;21.6;7.83;7.57;Ausencia;Ausencia;Ausencia;Ausencia;1200;400;200;3;0.049;0.48;0.58;47;14;82;59;<0.006;<0.002;<0.5;<10;55;Muy deteriorada
9;Arroyo Abra Vieja y Santa Rosa;TI009; 29/10/2019;2019;primavera;21.5;7.91;7.65;Ausencia;Ausencia;Ausencia;Ausencia;800;400;150;2.1;0.049;0.56;0.83;19;4;69;49;<0.006;<0.002;<0.5;<10;58;Muy deteriorada
10;Del Arca;SF015; 29/10/2019;2019;primavera;20.5;5.2;7.59;Ausencia;Ausencia;Ausencia;Presencia;6400;3100;3300;3.3;0.9;0.42;1.7;23;11;62;49;<0.006;<0.002;<0.5;<10;40;Extremadamente deteriorada
11;Espigón La Farola;SI021; 29/10/2019;2019;primavera;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió
12;Reserva Ecológica;SI022; 29/10/2019;2019;primavera;21.6;7.05;7.85;Ausencia;Ausencia;Ausencia;Ausencia;34200;17200;5750;7.1;1.24;0.56;0.77;44;2;76;49;<0.006;<0.002;<0.5;<10;41;Extremadamente deteriorada
13;Playa Espigón de Pacheco;SI024; 29/10/2019;2019;primavera;21.6;7.26;7.97;Ausencia;Ausencia;Ausencia;Ausencia;22600;8500;3400;7.4;0.7;0.21;0.4;43;22;60;49;<0.006;<0.002;<0.5;<10;40;Extremadamente deteriorada
